prefecture_code,prefecture_name,horizon,best_params,best_val_loss,mae_norm,rmse_norm,n_trials,n_train_samples,n_val_samples,hpo_test_done
17,石川県,3,"{""d_model"": 384, ""n_heads"": 8, ""patch_len"": 32, ""dropout"": 0.1, ""revin"": true, ""input_norm"": false, ""output_norm"": false}",,0.0443740971386432,0.0810358822345733,20,1984,496,True
17,石川県,4,"{""d_model"": 384, ""n_heads"": 8, ""patch_len"": 8, ""dropout"": 0.1, ""revin"": true, ""input_norm"": false, ""output_norm"": false}",,0.065889865,0.10399228,20,1984,496,True
18,福井県,1,"{""d_model"": 384, ""n_heads"": 8, ""patch_len"": 32, ""dropout"": 0.15000000000000002, ""lr"": 0.00012118681314176635, ""batch_size"": 32, ""revin"": false, ""input_norm"": false, ""output_norm"": false}",0.0011456743871554,0.015003802254796,0.0353579670190811,20,1984,496,True
18,福井県,2,"{""d_model"": 384, ""n_heads"": 8, ""patch_len"": 32, ""dropout"": 0.15000000000000002, ""lr"": 0.00012118681314176635, ""batch_size"": 32, ""revin"": false, ""input_norm"": false, ""output_norm"": false}",0.0011456743871554,0.0222742892801761,0.0467189475893974,20,1984,496,True
18,福井県,3,"{""d_model"": 128, ""n_heads"": 8, ""patch_len"": 16, ""dropout"": 0.1, ""revin"": true, ""input_norm"": false, ""output_norm"": false}",,0.033490028232336,0.0569852925837039,20,1984,496,True
18,福井県,4,"{""d_model"": 256, ""n_heads"": 8, ""patch_len"": 32, ""dropout"": 0.1, ""revin"": true, ""input_norm"": false, ""output_norm"": false}",,0.03925927,0.063944675,20,1984,496,True
19,山梨県,1,"{""d_model"": 256, ""n_heads"": 8, ""patch_len"": 32, ""dropout"": 0.1, ""lr"": 0.00036244891634893886, ""batch_size"": 32, ""revin"": false, ""input_norm"": false, ""output_norm"": false}",0.0007802181064048,0.0163313020020723,0.0543439127504825,20,1984,496,True
19,山梨県,2,"{""d_model"": 256, ""n_heads"": 8, ""patch_len"": 32, ""dropout"": 0.1, ""lr"": 0.00036244891634893886, ""batch_size"": 32, ""revin"": false, ""input_norm"": false, ""output_norm"": false}",0.0007802181064048,0.0225428752601146,0.0685319304466247,20,1984,496,True
19,山梨県,3,"{""d_model"": 256, ""n_heads"": 8, ""patch_len"": 8, ""dropout"": 0.1, ""revin"": true, ""input_norm"": false, ""output_norm"": false}",,0.0355520211160182,0.1153977513313293,20,1984,496,True
19,山梨県,4,"{""d_model"": 256, ""n_heads"": 8, ""patch_len"": 8, ""dropout"": 0.1, ""revin"": true, ""input_norm"": false, ""output_norm"": false}",,0.05714884,0.106697075,20,1984,496,True
20,長野県,1,"{""d_model"": 256, ""n_heads"": 16, ""patch_len"": 8, ""dropout"": 0.25, ""lr"": 0.0009653342394976, ""batch_size"": 32, ""revin"": false, ""input_norm"": false, ""output_norm"": false}",0.0010994967655748,0.0167908575385808,0.0375890024006366,20,1984,496,True
20,長野県,2,"{""d_model"": 256, ""n_heads"": 16, ""patch_len"": 8, ""dropout"": 0.25, ""lr"": 0.0009653342394976, ""batch_size"": 32, ""revin"": false, ""input_norm"": false, ""output_norm"": false}",0.0010994967655748,0.0240742508322,0.049612883478403,20,1984,496,True
20,長野県,3,"{""d_model"": 384, ""n_heads"": 8, ""patch_len"": 16, ""dropout"": 0.1, ""revin"": true, ""input_norm"": false, ""output_norm"": false}",,0.0365614332258701,0.0654405429959297,20,1984,496,True
20,長野県,4,"{""d_model"": 384, ""n_heads"": 8, ""patch_len"": 8, ""dropout"": 0.1, ""revin"": true, ""input_norm"": false, ""output_norm"": false}",,0.059627462,0.10626953,20,1984,496,True
21,岐阜県,1,"{""d_model"": 128, ""n_heads"": 8, ""patch_len"": 8, ""dropout"": 0.1, ""lr"": 0.0010577375318184259, ""batch_size"": 16, ""revin"": true, ""input_norm"": false, ""output_norm"": false}",0.0011350304598709,0.0236957855522632,0.0423971153795719,20,1984,496,True
21,岐阜県,2,"{""d_model"": 128, ""n_heads"": 8, ""patch_len"": 8, ""dropout"": 0.1, ""lr"": 0.0010577375318184259, ""batch_size"": 16, ""revin"": true, ""input_norm"": false, ""output_norm"": false}",0.0011350304598709,0.02558552660048,0.0483184717595577,20,1984,496,True
21,岐阜県,3,"{""d_model"": 256, ""n_heads"": 8, ""patch_len"": 16, ""dropout"": 0.1, ""revin"": true, ""input_norm"": false, ""output_norm"": false}",,0.0240717250853776,0.051082544028759,20,1984,496,True
21,岐阜県,4,"{""d_model"": 256, ""n_heads"": 8, ""patch_len"": 16, ""dropout"": 0.1, ""revin"": true, ""input_norm"": false, ""output_norm"": false}",,0.026079586,0.059010185,20,1984,496,True
22,静岡県,1,"{""d_model"": 128, ""n_heads"": 8, ""patch_len"": 8, ""dropout"": 0.2, ""lr"": 0.00027333260624621663, ""batch_size"": 32, ""revin"": false, ""input_norm"": false, ""output_norm"": false}",0.001227025913126,0.0157883204519748,0.0429076999425888,20,1984,496,True
22,静岡県,2,"{""d_model"": 128, ""n_heads"": 8, ""patch_len"": 8, ""dropout"": 0.2, ""lr"": 0.00027333260624621663, ""batch_size"": 32, ""revin"": false, ""input_norm"": false, ""output_norm"": false}",0.001227025913126,0.0205357614904642,0.0516512803733348,20,1984,496,True
22,静岡県,3,"{""d_model"": 128, ""n_heads"": 8, ""patch_len"": 16, ""dropout"": 0.1, ""revin"": true, ""input_norm"": false, ""output_norm"": false}",,0.0294441301375627,0.0647428408265113,20,1984,496,True
22,静岡県,4,"{""d_model"": 256, ""n_heads"": 8, ""patch_len"": 16, ""dropout"": 0.1, ""revin"": true, ""input_norm"": false, ""output_norm"": true}",,0.09275418,0.15622844,20,1984,496,True
23,愛知県,1,"{""d_model"": 384, ""n_heads"": 16, ""patch_len"": 16, ""dropout"": 0.1, ""lr"": 0.0002636916364868538, ""batch_size"": 16, ""revin"": true, ""input_norm"": false, ""output_norm"": false}",0.0006992787348006,0.0172127112746238,0.0409192107617855,20,1984,496,True
23,愛知県,2,"{""d_model"": 384, ""n_heads"": 16, ""patch_len"": 16, ""dropout"": 0.1, ""lr"": 0.0002636916364868538, ""batch_size"": 16, ""revin"": true, ""input_norm"": false, ""output_norm"": false}",0.0006992787348006,0.0221091639250516,0.0539011918008327,20,1984,496,True
23,愛知県,3,"{""d_model"": 384, ""n_heads"": 8, ""patch_len"": 32, ""dropout"": 0.1, ""revin"": true, ""input_norm"": false, ""output_norm"": false}",,0.0423948243260383,0.0842761173844337,20,1984,496,True
23,愛知県,4,"{""d_model"": 256, ""n_heads"": 8, ""patch_len"": 32, ""dropout"": 0.1, ""revin"": true, ""input_norm"": false, ""output_norm"": false}",,0.05000917,0.08790407,20,1984,496,True
24,三重県,1,"{""d_model"": 256, ""n_heads"": 16, ""patch_len"": 8, ""dropout"": 0.2, ""lr"": 0.00038021167735775873, ""batch_size"": 32, ""revin"": true, ""input_norm"": false, ""output_norm"": false}",0.0013060013788485,0.0185050051659345,0.0448375083506107,20,1984,496,True
24,三重県,2,"{""d_model"": 256, ""n_heads"": 16, ""patch_len"": 8, ""dropout"": 0.2, ""lr"": 0.00038021167735775873, ""batch_size"": 32, ""revin"": true, ""input_norm"": false, ""output_norm"": false}",0.0013060013788485,0.0254260562360286,0.057759765535593,20,1984,496,True
24,三重県,3,"{""d_model"": 384, ""n_heads"": 8, ""patch_len"": 32, ""dropout"": 0.1, ""revin"": true, ""input_norm"": false, ""output_norm"": false}",,0.0327161736786365,0.0706544890999794,20,1984,496,True
24,三重県,4,"{""d_model"": 256, ""n_heads"": 8, ""patch_len"": 32, ""dropout"": 0.1, ""revin"": true, ""input_norm"": false, ""output_norm"": false}",,0.03778297,0.079858504,20,1984,496,True
25,滋賀県,1,"{""d_model"": 384, ""n_heads"": 8, ""patch_len"": 16, ""dropout"": 0.05, ""lr"": 0.00010255595908021725, ""batch_size"": 16, ""revin"": true, ""input_norm"": false, ""output_norm"": false}",0.0004932570304588,0.0160021837800741,0.0383540242910385,20,1984,496,True
25,滋賀県,2,"{""d_model"": 384, ""n_heads"": 8, ""patch_len"": 16, ""dropout"": 0.05, ""lr"": 0.00010255595908021725, ""batch_size"": 16, ""revin"": true, ""input_norm"": false, ""output_norm"": false}",0.0004932570304588,0.0220047999173402,0.0513425730168819,20,1984,496,True
25,滋賀県,3,"{""d_model"": 128, ""n_heads"": 8, ""patch_len"": 16, ""dropout"": 0.1, ""revin"": true, ""input_norm"": false, ""output_norm"": false}",,0.0288144964724779,0.0678471699357032,20,1984,496,True
25,滋賀県,4,"{""d_model"": 384, ""n_heads"": 16, ""patch_len"": 8, ""dropout"": 0.3, ""lr"": 0.009532122081128865, ""batch_size"": 64, ""revin"": true, ""input_norm"": false, ""output_norm"": false}",0.0062475492060184,0.0361040197312831,0.0755092278122901,20,1585,397,True
26,京都府,1,"{""d_model"": 256, ""n_heads"": 8, ""patch_len"": 16, ""dropout"": 0.05, ""lr"": 0.00011997326564445297, ""batch_size"": 16, ""revin"": false, ""input_norm"": false, ""output_norm"": false}",0.0008191895268106,0.0158006325364112,0.0422881506383419,20,1984,496,True
26,京都府,2,"{""d_model"": 256, ""n_heads"": 8, ""patch_len"": 16, ""dropout"": 0.05, ""lr"": 0.00011997326564445297, ""batch_size"": 16, ""revin"": false, ""input_norm"": false, ""output_norm"": false}",0.0008191895268106,0.0274184122681617,0.0546878837049007,20,1984,496,True
26,京都府,3,"{""d_model"": 384, ""n_heads"": 8, ""patch_len"": 32, ""dropout"": 0.1, ""revin"": true, ""input_norm"": false, ""output_norm"": false}",,0.0755246728658676,0.1148502901196479,20,1984,496,True
26,京都府,4,"{""d_model"": 384, ""n_heads"": 16, ""patch_len"": 32, ""dropout"": 0.1, ""lr"": 0.0033258770314207983, ""batch_size"": 16, ""revin"": true, ""input_norm"": false, ""output_norm"": false}",0.0059049831469277,0.0425512492656707,0.0785106346011161,20,1585,397,True
